"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
NW,"2/1/2020 12 a.m. PST",7521,0,13787,999,61,8104,8663,1138
NW,"2/1/2020 1 a.m. PST",7770,-1,12680,1041,61,7833,8345,1141
NW,"2/1/2020 2 a.m. PST",7961,1,12301,1052,61,7395,8198,1149
NW,"2/1/2020 3 a.m. PST",8322,-3,11735,1048,61,7301,8241,1147
NW,"2/1/2020 4 a.m. PST",8805,0,11582,1036,61,7208,8242,1148
NW,"2/1/2020 5 a.m. PST",8869,0,11967,1052,61,7318,8192,1152
NW,"2/1/2020 6 a.m. PST",8673,-1,13223,1052,61,7466,8311,1152
NW,"2/1/2020 7 a.m. PST",9554,31,13839,1059,61,7546,8669,1154
NW,"2/1/2020 8 a.m. PST",10005,721,14094,1050,62,7073,8880,1153
NW,"2/1/2020 9 a.m. PST",9278,1663,14422,987,61,6805,8105,1150
NW,"2/1/2020 10 a.m. PST",8957,1892,15026,971,61,6662,7509,1148
NW,"2/1/2020 11 a.m. PST",8924,1886,15143,990,60,6562,7259,1153
NW,"2/1/2020 12 p.m. PST",9355,1818,14594,985,60,6425,7122,1150
NW,"2/1/2020 1 p.m. PST",9746,1828,14379,967,60,5525,6860,1154
NW,"2/1/2020 2 p.m. PST",9980,1880,14375,954,59,5660,6709,1160
NW,"2/1/2020 3 p.m. PST",10088,1823,14350,951,59,5852,6625,1160
NW,"2/1/2020 4 p.m. PST",9747,1273,14709,942,60,6781,7160,1158
NW,"2/1/2020 5 p.m. PST",9913,249,16244,956,60,7511,8559,1163
NW,"2/1/2020 6 p.m. PST",9915,0,17238,992,62,7827,9524,1166
NW,"2/1/2020 7 p.m. PST",9544,0,17898,990,62,7670,9596,1167
NW,"2/1/2020 8 p.m. PST",9402,0,17685,993,61,7468,9334,1169
NW,"2/1/2020 9 p.m. PST",9588,0,17206,1012,61,7291,9236,1170
NW,"2/1/2020 10 p.m. PST",9464,1,16201,993,62,7033,9275,1172
NW,"2/1/2020 11 p.m. PST",8957,-2,15564,1015,62,7131,8824,1173
NW,"2/2/2020 12 a.m. PST",8516,0,14861,999,62,7199,8531,1173
NW,"2/2/2020 1 a.m. PST",7860,-1,14250,1005,62,7057,8497,1175
NW,"2/2/2020 2 a.m. PST",7285,0,14402,996,61,7130,8698,1173
NW,"2/2/2020 3 a.m. PST",7249,-1,14455,998,59,7099,8527,1175
NW,"2/2/2020 4 a.m. PST",7572,-1,14435,991,59,7086,8372,1177
NW,"2/2/2020 5 a.m. PST",7396,0,15148,1001,60,7153,8550,1176
NW,"2/2/2020 6 a.m. PST",6965,0,16569,1010,61,7563,8854,1177
NW,"2/2/2020 7 a.m. PST",6242,53,17649,1008,61,7939,9720,1178
NW,"2/2/2020 8 a.m. PST",5343,864,18028,1007,59,7872,10001,1179
NW,"2/2/2020 9 a.m. PST",4607,1789,18041,1045,60,7295,9514,1179
NW,"2/2/2020 10 a.m. PST",4140,1951,17738,1012,60,7551,9666,1179
