Date,Time,kvarh d,kWh d,,
1/1/2009,12:00:00 AM,23.76,78.48,,
1/1/2009,12:15:00 AM,23.76,78.48,,
1/1/2009,12:30:00 AM,23.76,77.76,,
1/1/2009,12:45:00 AM,23.76,77.76,,
1/1/2009,1:00:00 AM,24.48,78.48,,
1/1/2009,1:15:00 AM,24.48,77.76,,
1/1/2009,1:30:00 AM,24.48,77.76,,
1/1/2009,1:45:00 AM,23.76,77.76,,
1/1/2009,2:00:00 AM,24.48,78.48,,
1/1/2009,2:15:00 AM,23.76,77.76,,
1/1/2009,2:30:00 AM,24.48,77.04,,
1/1/2009,2:45:00 AM,24.48,78.48,,
1/1/2009,3:00:00 AM,24.48,79.2,,
1/1/2009,3:15:00 AM,23.76,77.04,,
1/1/2009,3:30:00 AM,23.76,78.48,,
1/1/2009,3:45:00 AM,23.76,77.76,,
1/1/2009,4:00:00 AM,24.48,77.76,,
1/1/2009,4:15:00 AM,23.76,77.76,,
1/1/2009,4:30:00 AM,23.76,77.76,,
1/1/2009,4:45:00 AM,23.76,77.76,,
1/1/2009,5:00:00 AM,23.76,77.76,,
1/1/2009,5:15:00 AM,23.76,78.48,,
1/1/2009,5:30:00 AM,23.76,78.48,,
1/1/2009,5:45:00 AM,23.76,78.48,,
1/1/2009,6:00:00 AM,23.76,77.76,,
1/1/2009,6:15:00 AM,23.76,81.36,,
1/1/2009,6:30:00 AM,23.04,80.64,,
1/1/2009,6:45:00 AM,22.32,79.92,,
1/1/2009,7:00:00 AM,23.76,80.64,,
1/1/2009,7:15:00 AM,23.76,82.08,,
1/1/2009,7:30:00 AM,23.04,82.08,,
1/1/2009,7:45:00 AM,22.32,77.04,,
1/1/2009,8:00:00 AM,22.32,76.32,,
1/1/2009,8:15:00 AM,23.04,77.04,,
1/1/2009,8:30:00 AM,23.04,78.48,,
1/1/2009,8:45:00 AM,23.04,78.48,,
1/1/2009,9:00:00 AM,23.04,79.92,,
1/1/2009,9:15:00 AM,23.04,78.48,,
1/1/2009,9:30:00 AM,23.04,79.2,,
1/1/2009,9:45:00 AM,23.04,79.2,,
1/1/2009,10:00:00 AM,22.32,78.48,,
1/1/2009,10:15:00 AM,23.04,79.92,,
1/1/2009,10:30:00 AM,23.76,78.48,,
1/1/2009,10:45:00 AM,23.04,79.2,,
